"clade", "rich", "div", "age", "r.e0", "r.e09"
1,96,4.564348191,69.46613322,0.065706093,0.033849232
2,226,5.420534999,69.46613322,0.078031333,0.045446612
3,1,0,270.6661112,0,0
4,71,4.262679877,147.0862728,0.028980814,0.014137564
5,45,3.80666249,91.75330086,0.041488017,0.018379709
6,1,0,91.75330086,0,0
7,266,5.583496309,171.1536964,0.032622704,0.0193638
8,41,3.713572067,93.84741488,0.039570318,0.017149518
9,199,5.293304825,93.84741488,0.05640331,0.032339228
10,1,0,101.4737174,0,0
11,173,5.153291594,64.39035264,0.080032045,0.04505988
12,32,3.465735903,64.39035264,0.053823838,0.021913018
13,1,0,183.9906694,0,0
14,12,2.48490665,108.2887884,0.022947035,0.00685147
15,7,1.945910149,32.54101524,0.059798692,0.014443422
16,152,5.023880521,32.54101524,0.154386103,0.085394363
17,1,0,95.85730438,0,0
18,5,1.609437912,60.43091222,0.026632693,0.005567883
19,85,4.442651256,60.43091222,0.073516204,0.037078866
20,84,4.430816799,156.9385143,0.02823282,0.014209478
21,23,3.135494216,77.26194415,0.040582647,0.015054641
22,70,4.248495242,77.26194415,0.0549882,0.026751369
23,1,0,71.56365766,0,0
24,735,6.599870499,26.70065453,0.247180102,0.161398888
25,10,2.302585093,26.70065453,0.086237028,0.024038882
26,3962,8.284504227,54.26945809,0.152655002,0.110268065
27,8,2.079441542,54.26945809,0.038316976,0.009777659
28,517,6.248042875,83.02914682,0.075251199,0.047726808
29,271,5.602118821,58.26055967,0.096156282,0.057194859
30,2,0.693147181,37.80589948,0.018334366,0.00252104
31,1,0,37.80589948,0,0
32,2776,7.928766322,44.12006804,0.179708842,0.127593141
33,3,1.098612289,44.12006804,0.024900512,0.004132395
34,11,2.397895273,110.6758025,0.02166594,0.006262861
35,63,4.143134726,50.98719439,0.081258339,0.038717193
36,1,0,27.41756364,0,0
37,24,3.17805383,27.41756364,0.115913065,0.043545899
38,341,5.831882477,61.36531734,0.095035481,0.057937418
39,73,4.290459441,59.50581288,0.072101518,0.035360145
40,4082,8.314342343,59.50581288,0.139723196,0.101065078
41,2,0.693147181,146.1230468,0.004743586,0.00065226
42,4038,8.303504799,121.5902694,0.068290866,0.049371928
43,29,3.36729583,116.0848847,0.029007186,0.011500214
44,126,4.836281907,72.87795312,0.066361385,0.035712991
45,139,4.934473933,65.50409114,0.075330775,0.041136777
46,2,0.693147181,65.50409114,0.010581739,0.001455026
47,1,0,83.91344318,0,0
48,60,4.094344562,81.45460816,0.050265352,0.023712856
49,40,3.688879454,63.10628787,0.058455022,0.025183468
50,24,3.17805383,29.54427129,0.107569207,0.040411302
51,200,5.298317367,29.54427129,0.179334847,0.102887938
52,13,2.564949357,39.43098218,0.065049086,0.019995884
53,8,2.079441542,31.08268764,0.066900313,0.017071505
54,16,2.772588722,31.08268764,0.089200418,0.029479135
55,4,1.386294361,123.2828768,0.011244825,0.002128148
56,36,3.583518938,79.88960117,0.044855887,0.018826948
57,164,5.099866428,58.2520937,0.087548208,0.048937408
58,679,6.520621128,58.2520937,0.11193797,0.07263608
59,54,3.988984047,72.27636303,0.055190714,0.025465443
60,301,5.707110265,57.94522597,0.098491466,0.059262642
61,39,3.663561646,46.86613174,0.078170771,0.033470138
62,1075,6.980075941,31.0238381,0.224990729,0.1510396
63,250,5.521460918,31.0238381,0.177974785,0.104894919
64,186,5.225746674,81.40692023,0.064192905,0.036488476
65,1,0,72.20414823,0,0
66,290,5.669880923,51.56199781,0.109962398,0.065898503
67,273,5.609471795,51.56199781,0.108790816,0.064763239
68,6,1.791759469,58.11601885,0.030830733,0.006976822
69,2,0.693147181,58.11601885,0.011926956,0.001639998
70,276,5.620400866,40.96980716,0.137183972,0.081765191
71,778,6.656726524,40.96980716,0.162478835,0.106557571
72,27,3.295836866,33.29937339,0.098975942,0.038467206
73,4,1.386294361,33.29937339,0.041631245,0.007878955
74,28865,10.27038507,99.03751647,0.103701965,0.080455488
75,13,2.564949357,71.73693893,0.035754932,0.010990954
76,4,1.386294361,61.73954208,0.022453914,0.004249534
77,1,0,45.41440353,0,0
78,37,3.610917913,36.28785066,0.099507627,0.042054194
79,163,5.093750201,36.28785066,0.140370678,0.078398399
80,4,1.386294361,57.63891176,0.024051363,0.00455186
81,27,3.295836866,57.63891176,0.057180761,0.022223422
82,2,0.693147181,62.24175615,0.011136369,0.00153129
83,2423,7.792761721,52.56292137,0.148255872,0.104520145
84,2,0.693147181,44.71214548,0.015502436,0.00213164
85,1338,7.198931241,34.63425846,0.207855793,0.141566481
86,2390,7.779048645,28.58435265,0.2721436,0.191721052
87,3113,8.04334217,28.58435265,0.281389691,0.200936648
88,2658,7.885329239,104.2134232,0.075665197,0.053602734
89,17,2.833213344,101.3244228,0.027961801,0.009430218
90,757,6.629363253,63.86283105,0.103806285,0.067936185
91,10,2.302585093,63.86283105,0.036055168,0.010050508
92,6,1.791759469,70.31951259,0.02548026,0.00576604
93,104,4.644390899,55.63986424,0.083472362,0.043580313
94,34,3.526360525,55.63986424,0.063378309,0.026215287
95,80,4.382026635,84.64517243,0.051769363,0.02582606
96,209,5.342334252,61.45684466,0.086928222,0.050147546
97,7,1.945910149,47.09654494,0.041317471,0.009979578
98,18,2.890371758,47.09654494,0.061371206,0.021089695
99,599,6.395261598,42.01777229,0.152203728,0.09775839
100,13,2.564949357,42.01777229,0.061044392,0.018764854
101,1636,7.400009517,48.64758104,0.152114645,0.104895464
102,142,4.955827058,48.64758104,0.101872014,0.055803283
103,68,4.219507705,79.45485195,0.053105727,0.025690317
104,3473,8.152774053,79.45485195,0.102608889,0.073661669
105,97,4.574710979,85.12619816,0.053740342,0.027733577
106,398,5.986452005,64.07010369,0.093435966,0.057846451
107,1222,7.10824414,64.07010369,0.110944789,0.075120794
108,7,1.945910149,70.26579216,0.027693563,0.006688939
109,4,1.386294361,55.25289739,0.025089985,0.004748425
110,5987,8.697345731,36.73914453,0.236732397,0.174099393
111,528,6.269096284,36.73914453,0.170638058,0.108424218
112,12,2.48490665,58.21149149,0.042687562,0.012745548
113,37,3.610917913,34.94601861,0.103328449,0.04366896
114,487,6.188264123,34.94601861,0.177080662,0.111714896
115,5,1.609437912,60.29531545,0.026692586,0.005580404
116,12352,9.421573272,36.80095787,0.256014349,0.193465522
117,4,1.386294361,30.9923162,0.04473026,0.008465462
118,3,1.098612289,30.9923162,0.035447892,0.005882799
119,4,1.386294361,154.3528154,0.008981335,0.00169977
120,2,0.693147181,111.7693475,0.006201586,0.00085274
121,1239,7.122059882,109.7820287,0.064874552,0.043966326
122,45,3.80666249,68.61241685,0.055480665,0.024578626
123,2,0.693147181,68.61241685,0.010102358,0.00138911
124,724,6.584791392,72.32745354,0.091041383,0.059376632
125,970,6.877296071,55.71808816,0.123430223,0.082270349
126,3820,8.248005702,55.71808816,0.148031025,0.10674763
127,202,5.308267697,141.4286622,0.037533182,0.021560503
128,5,1.609437912,102.0936565,0.015764328,0.003295721
129,10,2.302585093,81.51934263,0.028245874,0.007873639
130,2575,7.853604813,81.51934263,0.096340384,0.068137311
131,2,0.693147181,136.2758753,0.005086353,0.000699391
132,143,4.96284463,121.9616758,0.040691837,0.022312709
133,1,0,121.9616758,0,0
134,72,4.276666119,91.57653089,0.04670046,0.022842797
135,2,0.693147181,91.57653089,0.007569048,0.001040771
136,489,6.192362489,123.4400501,0.050164938,0.031659214
137,1,0,38.72539695,0,0
138,3,1.098612289,38.72539695,0.028369297,0.004708062
139,38,3.63758616,46.25916188,0.078634934,0.033454184
140,1392,7.238496841,46.25916188,0.156477043,0.106840597
141,1401,7.244941546,47.4416532,0.15271267,0.104312551
142,16,2.772588722,42.3710535,0.065435917,0.021625394
143,67,4.204692619,42.3710535,0.099235027,0.047866363
144,225,5.416100402,27.14706107,0.199509641,0.116135445
145,51,3.931825633,27.14706107,0.144834302,0.066001968
146,146,4.983606622,43.45275053,0.114690245,0.06307633
147,80,4.382026635,43.45275053,0.100845783,0.050308697
148,2283,7.733245647,48.73439127,0.158681486,0.111514576
149,1175,7.069023427,48.73439127,0.145052051,0.09796098
150,194,5.267858159,68.44719258,0.07696237,0.043984578
151,151,5.017279837,63.24196239,0.079334664,0.043840966
152,1,0,46.30557918,0,0
153,22,3.091042453,24.57317393,0.125789304,0.046042164
154,5,1.609437912,24.57317393,0.065495728,0.013692665
155,3,1.098612289,89.95950998,0.012212297,0.002026707
156,5,1.609437912,84.40816817,0.019067324,0.003986252
157,8,2.079441542,32.51759201,0.063948202,0.01631819
158,2,0.693147181,32.51759201,0.021316067,0.002931034
159,2936,7.98480339,53.1372465,0.150267541,0.106992352
160,11,2.397895273,45.37876872,0.052841788,0.015274702
161,4090,8.316300249,45.37876872,0.183264123,0.132571099
162,5,1.609437912,61.40540184,0.026210038,0.005479522
163,42,3.737669618,57.6842953,0.064795272,0.028244092
164,6,1.791759469,46.66530212,0.038395968,0.008688792
165,1,0,42.39172643,0,0
166,3586,8.184792654,35.28304796,0.231975215,0.166785879
167,8,2.079441542,33.95061745,0.061249005,0.015629414
168,88,4.477336814,28.29835622,0.158218971,0.080291797
169,645,6.469250317,23.21757353,0.278635935,0.180058534
170,3,1.098612289,23.21757353,0.047318135,0.00785274
171,165,5.105945474,47.15959015,0.108269505,0.060570293
172,20,2.995732274,36.016016,0.083177781,0.029562146
173,23,3.135494216,33.37533608,0.093946446,0.03485061
174,146,4.983606622,25.18836367,0.197853528,0.108813739
175,1,0,25.18836367,0,0
176,39,3.663561646,25.11076395,0.145896065,0.062467869
177,356,5.874930731,21.16456282,0.277583373,0.169968654
178,76,4.33073334,18.82949723,0.22999729,0.113654982
179,3839,8.252967195,18.82949723,0.438299923,0.316138219
180,24,3.17805383,90.11029867,0.035268486,0.013249567
181,131,4.875197323,69.20748984,0.070443204,0.038132539
182,396,5.981414211,38.30421674,0.156155502,0.0966291
183,336,5.81711116,38.30421674,0.151866078,0.092443068
184,1,0,40.06430664,0,0
185,4,1.386294361,40.06430664,0.034601731,0.006548579
186,1052,6.958448393,45.84845471,0.15177062,0.101734771
187,164,5.099866428,38.17756072,0.133582825,0.074669687
188,6,1.791759469,38.17756072,0.046932267,0.010620508
189,352,5.863631176,69.45681165,0.084421255,0.051633422
190,780,6.65929392,54.06187647,0.123179112,0.08079966
191,14,2.63905733,54.06187647,0.048815496,0.015406589
192,1393,7.239214974,59.1429713,0.122401949,0.083578317
193,784,6.66440902,53.01380031,0.125710833,0.082492447
194,3820,8.248005702,53.01380031,0.155582238,0.112192935
195,3,1.098612289,48.4131207,0.022692449,0.003765953
196,570,6.345636361,48.4131207,0.131072657,0.08383507
197,420,6.040254711,51.09676776,0.11821207,0.073563789
198,183,5.209486153,40.92741867,0.127285969,0.072198794
199,19,2.944438979,40.92741867,0.071942944,0.025157204
200,83,4.418840608,39.34976292,0.112296499,0.056396871
201,314,5.749392986,30.89706989,0.186082143,0.112472388
202,2,0.693147181,30.89706989,0.022434075,0.003084764
203,92,4.521788577,38.74572292,0.1167042,0.059684921
204,9,2.197224577,31.71964293,0.069270155,0.018530684
205,5240,8.564076777,31.71964293,0.269992849,0.197455179
206,3,1.098612289,21.52140876,0.051047415,0.008471637
207,487,6.188264123,21.52140876,0.287539919,0.181400338
208,73,4.290459441,72.8173673,0.058920826,0.028896048
209,54,3.988984047,72.8173673,0.054780668,0.025276245
210,5,1.609437912,52.89809041,0.030425255,0.006360763
211,4,1.386294361,39.47764401,0.035115934,0.006645895
212,747,6.616065185,39.47764401,0.167590173,0.109567235
213,13,2.564949357,52.99281432,0.048401833,0.014878571
214,15,2.708050201,46.40529147,0.058356496,0.018865709
215,2490,7.820037989,46.40529147,0.168516084,0.118974812
216,105,4.65396035,40.3541869,0.115327819,0.060306341
217,552,6.313548046,26.09851914,0.241912118,0.154305146
218,23600,10.06900199,18.7485456,0.537055098,0.41426137
219,63,4.143134726,18.7485456,0.220984327,0.105292489
220,108,4.682131227,44.88659997,0.104310222,0.054795615
221,11,2.397895273,39.35494311,0.060929964,0.01761271
222,25,3.218875825,36.20172252,0.088914991,0.033804343
223,12,2.48490665,36.20172252,0.068640564,0.020494532
224,94,4.543294782,68.97657865,0.06586721,0.033810664
225,119,4.779123493,54.35403377,0.087925829,0.046904434
226,8,2.079441542,54.35403377,0.038257355,0.009762445
227,35,3.555348061,56.5273999,0.062896013,0.026210378
228,340,5.828945618,41.4090794,0.140764917,0.085790046
229,1641,7.403061091,41.4090794,0.178778693,0.123304974
230,2,0.693147181,55.14896474,0.012568634,0.001728232
231,9,2.197224577,42.02321871,0.052285966,0.013987188
232,7,1.945910149,38.76819514,0.050193468,0.012123433
233,332,5.805134969,29.49326182,0.196829195,0.119664532
234,1705,7.44132039,26.71643709,0.278529669,0.192540644
235,15,2.708050201,23.11323333,0.11716449,0.037877381
236,5149,8.5465578,23.11323333,0.369769027,0.270222647
237,5,1.609437912,56.21409749,0.028630503,0.005985549
238,4,1.386294361,56.21409749,0.024660973,0.004667233
239,27,3.295836866,59.77041294,0.055141611,0.021430902
240,1,0,59.77041294,0,0
241,253,5.533389489,86.84515388,0.063715582,0.037604394
242,7,1.945910149,75.04243147,0.025930798,0.006263172
243,14259,9.565143565,56.05093645,0.170650915,0.129581947
244,2178,7.686162303,43.53689729,0.17654364,0.123750227
245,579,6.361302478,40.34720521,0.157664018,0.100977052
246,17,2.833213344,34.07473993,0.083147028,0.028041636
247,7038,8.859079318,34.07473993,0.259989639,0.192452597
248,4325,8.372167419,68.07149626,0.122990795,0.089195352
249,2695,7.899153483,37.46164995,0.210859732,0.149483601
250,4268,8.358900612,37.46164995,0.223132207,0.16172331
251,5,1.609437912,47.51365862,0.033873163,0.00708159
252,18,2.890371758,35.08539267,0.082381058,0.028309553
253,2,0.693147181,35.08539267,0.019756005,0.00271652
254,1,0,55.32507879,0,0
255,717,6.575075841,35.74838138,0.183926533,0.119864586
256,6,1.791759469,35.74838138,0.050121415,0.011342195
257,4,1.386294361,46.82677449,0.029604737,0.005602869
258,302,5.710427017,33.09403361,0.172551557,0.103861858
259,4074,8.312380597,33.09403361,0.251174598,0.181664232
260,3159,8.058010801,38.66758793,0.208391866,0.148917245
261,3032,8.016977747,36.031762,0.222497522,0.158675465
262,41,3.713572067,34.42610025,0.107870832,0.046750515
263,8444,9.041211409,29.43772786,0.30713007,0.228947412
264,341,5.831882477,26.8783969,0.216972854,0.132275302
265,2850,7.955074273,22.11300146,0.359746473,0.255760943
266,27,3.295836866,22.11300146,0.149045206,0.057926729
267,6,1.791759469,27.8604465,0.064311944,0.014553432
268,1109,7.011213987,27.8604465,0.25165476,0.169297773
269,935,6.840546529,24.07699975,0.284111251,0.188874906
270,47,3.850147602,24.07699975,0.159909775,0.071552378
271,31,3.433987204,25.57586631,0.134266701,0.054203222
272,329,5.796057751,21.35020187,0.271475548,0.164891219
273,7,1.945910149,21.35020187,0.091142471,0.022014013
274,392,5.97126184,25.91840832,0.230386904,0.142422956
275,118,4.770684624,21.69623831,0.219885335,0.117144823
276,6625,8.798605651,21.69623831,0.405535998,0.29947026
277,11,2.397895273,92.397749,0.02595188,0.007501776
278,39,3.663561646,80.5354586,0.045490045,0.019477333
279,21,3.044522438,63.45600354,0.047978477,0.017312976
280,135,4.905274778,60.00476455,0.081748088,0.044450274
281,3,1.098612289,50.30397822,0.021839471,0.003624396
282,35,3.555348061,50.30397822,0.070677274,0.029453029
283,27,3.295836866,58.32187766,0.056511158,0.021963179
284,388,5.96100534,43.89518444,0.135800895,0.083866858
285,1264,7.142036575,43.89518444,0.162706608,0.110411804
286,2161,7.678326357,64.60988223,0.118841361,0.083267407
287,2,0.693147181,50.46503923,0.013735196,0.001888638
288,1,0,41.17369306,0,0
289,3,1.098612289,30.46349668,0.036063237,0.005984919
290,169,5.129898715,30.46349668,0.168394941,0.094513065
291,1330,7.192934221,121.8333858,0.059039106,0.040195003
292,1855,7.525639975,96.7590816,0.077777092,0.054030018
293,21,3.044522438,74.33677564,0.040955804,0.014778853
294,29,3.36729583,74.33677564,0.045297846,0.017958824
295,731,6.59441346,90.68547453,0.072717417,0.047461461
296,1172,7.06646697,57.36727515,0.123179408,0.08317515
297,854,6.749931194,57.36727515,0.117661701,0.077706839
298,6212,8.734238184,64.54022351,0.135330151,0.099675838
299,267,5.587248658,64.54022351,0.086570023,0.051406946
300,7717,8.951180966,55.70918397,0.160676936,0.119365623
301,10,2.302585093,29.63617172,0.077695092,0.021657787
302,1,0,21.59023683,0,0
303,90,4.49980967,21.59023683,0.208418727,0.106183863
304,2,0.693147181,60.56477709,0.011444724,0.00157369
305,2,0.693147181,41.98187106,0.016510631,0.00227027
306,3,1.098612289,41.98187106,0.026168731,0.004342864
307,52,3.951243719,27.40961875,0.14415537,0.065972781
308,1,0,20.30628641,0,0
309,11,2.397895273,17.33899053,0.138294976,0.039976213
310,9,2.197224577,17.33899053,0.126721597,0.033899705
311,61,4.110873864,108.2001612,0.037993232,0.017984355
312,5,1.609437912,70.4687758,0.022839022,0.004774771
313,17,2.833213344,66.33263859,0.042712206,0.014404846
314,9,2.197224577,58.84244515,0.03734081,0.009989161
315,1414,7.254177846,51.69179354,0.140335193,0.095913435
316,804,6.689599269,51.69179354,0.129413178,0.085084028
317,2582,7.856319571,61.72184359,0.127285886,0.090036424
318,846,6.74051936,51.86289514,0.12996805,0.085774548
319,2649,7.881937489,46.26815691,0.170353392,0.120660612
320,177,5.176149733,46.26815691,0.111872832,0.063178691
321,2,0.693147181,86.0878453,0.008051627,0.001107127
322,23,3.135494216,75.70680712,0.041416279,0.015363887
323,6,1.791759469,75.70680712,0.023667085,0.005355729
324,8,2.079441542,71.5154189,0.029076828,0.007419774
325,1189,7.080867897,67.31784726,0.105185596,0.07109294
326,6711,8.81150325,56.57416497,0.155751362,0.115074758
327,12,2.48490665,39.74401226,0.062522793,0.018667902
328,4,1.386294361,39.74401226,0.034880584,0.006601353
329,22,3.091042453,60.36405779,0.051206671,0.018742976
330,25,3.218875825,55.24376474,0.058266772,0.022152282
331,413,6.023447593,35.31651188,0.17055613,0.105968003
332,73,4.290459441,25.99998577,0.165017761,0.080928281
333,472,6.156978986,25.99998577,0.236807014,0.148972473
334,2,0.693147181,36.70208877,0.018885769,0.00259686
335,123,4.812184355,36.70208877,0.131114727,0.070301634
336,52,3.951243719,55.60565231,0.071058311,0.032519873
337,36,3.583518938,55.60565231,0.064445228,0.027049002
338,1,0,69.17505053,0,0
339,12,2.48490665,67.78398342,0.036659201,0.010945614
340,2,0.693147181,53.92462586,0.012854001,0.00176747
341,4,1.386294361,29.09009266,0.047655206,0.009019025
342,19,2.944438979,29.09009266,0.101217931,0.035394161
343,1,0,57.32766188,0,0
344,23,3.135494216,35.56950704,0.088151186,0.032700785
345,102,4.624972813,35.56950704,0.13002634,0.067668779
346,2,0.693147181,46.02151982,0.015061371,0.002070992
347,1,0,42.42999797,0,0
348,565,6.336825731,30.37465458,0.20862215,0.133336308
349,331,5.802118375,22.12653817,0.262224408,0.159372447
350,4901,8.497194545,22.12653817,0.384027292,0.280045802
351,385,5.953243334,72.15595889,0.082505221,0.05091424
352,26,3.258096538,72.15595889,0.045153534,0.017361878
353,7,1.945910149,64.66495955,0.030092188,0.007268289
354,19400,9.873028345,59.36417161,0.166312914,0.127533272
355,7,1.945910149,52.06108713,0.03737744,0.009027926
356,1911,7.555381944,52.06108713,0.14512532,0.100987045
357,1,0,94.19025976,0,0
358,11742,9.370927437,83.26822135,0.112539061,0.084895635
359,1,0,59.74829742,0,0
360,130,4.86753445,57.78109636,0.08424095,0.045549306
361,1470,7.29301768,51.96651307,0.140340717,0.096149156
362,2,0.693147181,51.96651307,0.013338343,0.001834069
363,114,4.736198448,56.54550558,0.083759061,0.04438194
364,134,4.8978398,44.20983027,0.110786216,0.060173485
365,1448,7.277938573,34.52038815,0.210830149,0.144307465
366,2437,7.798523054,34.52038815,0.225910642,0.159315249
367,16,2.772588722,38.66157524,0.071714324,0.023700295
368,5,1.609437912,38.66157524,0.041628876,0.008703014
369,1357,7.21303166,52.84296866,0.136499365,0.093050354
370,3,1.098612289,40.80701748,0.026922141,0.004467897
371,1738,7.460490306,36.02418333,0.207096723,0.143322339
372,2,0.693147181,36.02418333,0.019241163,0.002645728
373,30,3.401197382,23.47978585,0.144856406,0.057963755
374,45,3.80666249,23.47978585,0.162125094,0.071823438
375,41,3.713572067,80.68147562,0.046027568,0.019948048
376,1162,7.057897937,58.01908573,0.121647865,0.082094163
377,93,4.532599493,28.53900197,0.158821233,0.081375926
378,154,5.036952602,28.53900197,0.176493649,0.097801777
379,93,4.532599493,32.80662519,0.138161102,0.070790205
380,1,0,22.48036981,0,0
381,264,5.575949103,22.48036981,0.24803636,0.147101081
382,2,0.693147181,61.49658681,0.011271311,0.001549845
383,1770,7.478734826,61.49658681,0.121612194,0.084252182
384,6,1.791759469,98.37378718,0.01821379,0.004121678
385,355,5.872117789,36.87783781,0.159231618,0.09747233
386,871,6.769641977,36.87783781,0.183569384,0.12140996
387,450,6.109247583,47.42032316,0.128831842,0.080692515
388,826,6.716594774,42.26728324,0.158907653,0.104687273
389,66,4.189654742,38.12295386,0.109898482,0.052852752
390,1,0,38.12295386,0,0
391,2,0.693147181,93.98401306,0.00737516,0.001014111
392,290,5.669880923,59.47115289,0.095338339,0.057134566
393,185,5.220355825,59.47115289,0.08777963,0.049860696
394,1621,7.390798522,66.94787269,0.110396316,0.076085318
395,70,4.248495242,66.94787269,0.06345975,0.030872717
396,391,5.96870756,94.91358957,0.0628857,0.038865662
397,50,3.912023005,71.30645572,0.054862115,0.024891889
398,1301,7.170888479,71.30645572,0.100564366,0.068369649
399,246,5.505331536,87.05739757,0.063237952,0.037201646
400,739,6.605297921,59.63795857,0.110756607,0.072350194
401,403,5.998936562,59.63795857,0.100589234,0.062350193
402,10,2.302585093,84.33848877,0.027301712,0.00761045
403,6742,8.816111896,29.39891229,0.299878846,0.221602104
404,37,3.610917913,29.39891229,0.122824881,0.051908597
405,2171,7.68294317,68.98940841,0.111364097,0.078048141
406,101,4.615120517,68.98940841,0.066896073,0.034757441
407,9,2.197224577,64.9310724,0.033839339,0.009052471
408,42,3.737669618,39.22176812,0.095295796,0.041539192
409,215,5.370638028,39.22176812,0.136930034,0.079268761
410,546,6.302618976,31.29664505,0.201383214,0.128332702
411,5,1.609437912,31.29664505,0.051425254,0.010751064
412,220,5.393627546,49.82199646,0.108257957,0.062846476
413,2,0.693147181,49.82199646,0.013912473,0.001913014
414,19,2.944438979,60.41071379,0.048740344,0.017043656
415,75,4.317488114,60.41071379,0.071468914,0.035229375
416,11,2.397895273,67.84910246,0.035341592,0.010216011
417,27,3.295836866,67.84910246,0.048575983,0.018879157
418,1033,6.940222469,72.31582925,0.095971,0.064250278
419,46,3.828641396,65.71780396,0.058258815,0.02594043
420,203,5.313205979,59.30228081,0.089595306,0.051498882
421,1780,7.484368643,46.71479691,0.160214089,0.111031779
422,1217,7.104144093,46.71479691,0.152074815,0.102942265
423,2,0.693147181,55.58551727,0.012469924,0.001714659
424,17,2.833213344,42.77816192,0.066230367,0.022336431
425,2181,7.687538766,42.77816192,0.179707085,0.125977169